Date,Open,High,Low,Close,Volume,Year
01-10-2009,1505,1546,1476.2,1509.75,175053,2009
05-10-2009,1503,1544.9,1468.1,1477.65,161719,2009
06-10-2009,1487.85,1512,1462.2,1502,99480,2009
07-10-2009,1502,1535,1487.1,1531.7,151937,2009
08-10-2009,1540,1559,1485.2,1546.2,122914,2009
09-10-2009,1560,1627.85,1560,1589.6,373758,2009
12-10-2009,1599,1665,1599,1636.6,319082,2009
14-10-2009,1636.6,1665,1560.2,1604.7,328306,2009
15-10-2009,1650,1655,1547,1555.65,686464,2009
16-10-2009,1562,1592.5,1465.65,1478,888646,2009
17-10-2009,1485.95,1506.25,1477,1492.5,77044,2009
20-10-2009,1503.7,1522.9,1487,1501.6,330483,2009
21-10-2009,1508.8,1508.8,1463,1473.1,286665,2009
22-10-2009,1467,1479.7,1425,1453.8,180017,2009
23-10-2009,1465.3,1490,1460.3,1471.2,269035,2009
26-10-2009,1471,1484,1435,1464,164358,2009
27-10-2009,1445,1463.8,1425,1447.75,120216,2009
28-10-2009,1440,1457,1422.25,1431,93414,2009
29-10-2009,1400,1421.1,1368.1,1398.05,232749,2009
30-10-2009,1414,1469,1366.1,1388.15,159487,2009
03-11-2009,1478,1488.15,1395,1411.1,318750,2009
04-11-2009,1442.5,1459.35,1420.05,1442.85,280313,2009
05-11-2009,1445,1474.45,1425.15,1465.15,121727,2009
06-11-2009,1475.85,1505,1440,1455.6,143537,2009
09-11-2009,1460,1485,1455.65,1469.6,246673,2009
10-11-2009,1500,1500,1449.3,1456.15,258975,2009
11-11-2009,1460.1,1480,1438.6,1472.65,175644,2009
12-11-2009,1467.95,1480.9,1445.15,1456.65,105654,2009
13-11-2009,1455,1473.65,1447,1462.4,92641,2009
16-11-2009,1469.9,1538,1465,1508.95,296996,2009
17-11-2009,1525,1538.9,1505,1519.4,165159,2009
18-11-2009,1524.95,1535,1490.5,1501.25,154956,2009
19-11-2009,1518.7,1524.8,1483.1,1504.6,152615,2009
20-11-2009,1504.6,1521,1480,1501.1,106144,2009
23-11-2009,1511,1516,1486.5,1490.9,160989,2009
24-11-2009,1513,1527,1489,1506.55,160141,2009
25-11-2009,1512,1553,1495,1542.55,230545,2009
26-11-2009,1548,1602,1536.55,1553,395189,2009
27-11-2009,1531,1598,1503.55,1577.6,176100,2009
30-11-2009,1598,1621.85,1553.35,1570.45,167290,2009
01-12-2009,1592,1649,1577,1637.9,393770,2009
02-12-2009,1660,1703,1645.25,1690,543118,2009
03-12-2009,1700,1714.85,1665.25,1686.3,198958,2009
04-12-2009,1696,1697,1637,1646.55,85203,2009
07-12-2009,1670.8,1678.45,1611.4,1623.7,100411,2009
08-12-2009,1632,1652,1622.35,1646.05,69883,2009
09-12-2009,1650,1698.8,1622.3,1674.65,164430,2009
10-12-2009,1680,1693.7,1628,1640.8,214324,2009
11-12-2009,1641,1732.3,1640.4,1725.25,594036,2009
14-12-2009,1725,1788.7,1711,1783.85,547113,2009
15-12-2009,1788,1799.5,1730.15,1742.25,299169,2009
16-12-2009,1742,1753.65,1702,1730.4,202511,2009
17-12-2009,1735.2,1746,1720.15,1729.15,74187,2009
18-12-2009,1725,1743.7,1700,1704.8,77507,2009
21-12-2009,1705,1711,1637.2,1659.6,239559,2009
22-12-2009,1665.8,1709.3,1665.8,1697.25,208260,2009
23-12-2009,1705,1720,1703.15,1706,216237,2009
24-12-2009,1717,1736,1686.15,1704.9,300206,2009
29-12-2009,1712,1727.8,1678.3,1683.2,199445,2009
30-12-2009,1685.1,1710.1,1659,1699.4,292185,2009
31-12-2009,1675,1770,1675,1754.8,380627,2009
04-01-2010,1765,1772.95,1725.05,1732.05,190755,2010
05-01-2010,1748.8,1757.15,1710,1740.05,231969,2010
06-01-2010,1750,1750,1705.15,1713.15,232916,2010
07-01-2010,1723,1729,1675.1,1683.1,164644,2010
08-01-2010,1684.1,1699.85,1640.05,1655.25,182901,2010
11-01-2010,1663,1679.8,1640,1669.55,202332,2010
12-01-2010,1694,1718.85,1676.15,1703.7,423470,2010
13-01-2010,1725,1747.45,1678.05,1707.6,567950,2010
14-01-2010,1714,1728,1691.5,1709.2,233982,2010
15-01-2010,1715,1733,1701.35,1726.9,135241,2010
18-01-2010,1735,1749,1712.8,1735.7,120779,2010
19-01-2010,1749.9,1784,1735.15,1776.25,309869,2010
20-01-2010,1789.9,1836.55,1778,1820.55,426985,2010
21-01-2010,1805.25,1825,1782.25,1798.1,104905,2010
22-01-2010,1780,1792.65,1751.1,1786.8,130471,2010
25-01-2010,1786.2,1798.5,1720,1731.9,130801,2010
27-01-2010,1731,1735,1657,1670.3,822341,2010
28-01-2010,1698,1708.85,1672,1683.6,340054,2010
29-01-2010,1670,1832.6,1660.25,1747.7,232176,2010
01-02-2010,1747.7,1761,1703,1713.45,84079,2010
02-02-2010,1739.95,1747,1675,1685.2,262508,2010
03-02-2010,1699,1718.65,1690,1709.9,188726,2010
04-02-2010,1704.5,1712.5,1671,1683.55,184686,2010
05-02-2010,1650,1696,1626.9,1683.75,151370,2010
06-02-2010,1683,1746,1683,1721.3,16139,2010
08-02-2010,1730,1736.2,1686.35,1699.15,79552,2010
09-02-2010,1703.7,1739,1690,1728.6,84255,2010
10-02-2010,1737,1797.75,1736.5,1773.2,389788,2010
11-02-2010,1785,1798.95,1742.5,1788.75,239658,2010
15-02-2010,1790,1815,1779,1792.65,73831,2010
16-02-2010,1810,1810,1774,1797.5,865560,2010
17-02-2010,1800,1874,1800,1839.15,396604,2010
18-02-2010,1845.2,1845.2,1800,1812.5,203158,2010
19-02-2010,1800,1825,1780,1806.6,309612,2010
22-02-2010,1830,1835.05,1786,1801.35,156734,2010
23-02-2010,1780,1810,1698.4,1721.8,316178,2010
24-02-2010,1722,1758.8,1705,1747.45,182593,2010
25-02-2010,1712.45,1756.9,1704,1712.35,157038,2010
26-02-2010,1729.45,1826,1717.25,1817.65,337239,2010
02-03-2010,1827.8,1863,1811.25,1848.45,385986,2010
03-03-2010,1850,1890,1850,1878.45,436498,2010
04-03-2010,1880,1903.5,1873.2,1890.45,313191,2010
05-03-2010,1899,1910,1880.1,1901.05,123410,2010
08-03-2010,1910.5,1933,1897.05,1914.45,219745,2010
09-03-2010,1901.7,1918.9,1865.25,1874.25,133412,2010
10-03-2010,1866,1895,1835,1849.9,191887,2010
11-03-2010,1849.9,1868.4,1796.1,1826.1,229346,2010
12-03-2010,1830,1855,1815.55,1842.1,192621,2010
15-03-2010,1849.9,1855,1824,1829.6,67201,2010
16-03-2010,1833.35,1842,1814,1821.6,99530,2010
17-03-2010,1841.45,1841.45,1803.2,1810.35,133302,2010
18-03-2010,1824,1852.45,1812.1,1840.15,284966,2010
19-03-2010,1850,1875.1,1846,1864.9,176647,2010
22-03-2010,1850,1858,1840,1851.8,114385,2010
23-03-2010,1872,1872.3,1842,1848,111403,2010
25-03-2010,1860,1891.7,1845.3,1880.6,389506,2010
26-03-2010,1902,1995,1890,1977.9,551903,2010
29-03-2010,1970,2054.95,1962.5,1983.75,519855,2010
30-03-2010,1990,2019.7,1971.5,1981,210301,2010
31-03-2010,1990,2044,1979.8,2014.8,273123,2010
01-04-2010,2005,2028.6,1990.2,1997.1,141922,2010
05-04-2010,2011,2110,2005,2095.9,383161,2010
06-04-2010,2101.05,2113.9,2028.5,2040.6,301066,2010
07-04-2010,2045,2094,2045,2077.45,248355,2010
08-04-2010,2067,2095.95,2061.35,2074.85,182687,2010
09-04-2010,2078,2098,2063.05,2068.3,202451,2010
12-04-2010,2082.7,2089.95,2055,2074.1,126465,2010
13-04-2010,2075,2112,2072,2097.9,273193,2010
15-04-2010,2100,2122.7,2073.05,2088.75,267856,2010
16-04-2010,2080,2084.45,2038.7,2050.5,222980,2010
19-04-2010,2042,2050,2005.05,2010.8,138229,2010
20-04-2010,2004.2,2104.7,2004.2,2075.45,271220,2010
21-04-2010,2085.25,2117.85,2080.7,2093.3,241142,2010
22-04-2010,2091.8,2126.8,2076.6,2114.55,242116,2010
23-04-2010,2116,2133.7,2095.85,2107.35,129977,2010
26-04-2010,2100.2,2125,2080.25,2084.4,164049,2010
27-04-2010,2097,2108.9,2018.8,2027.95,354520,2010
28-04-2010,2015,2073,1994.95,2065.25,244072,2010
29-04-2010,2084.95,2099,2043,2078.8,317703,2010
30-04-2010,2099,2109.45,2048.6,2093.35,391599,2010
03-05-2010,2095,2139,2075,2094.6,212713,2010
04-05-2010,2129.7,2129.7,2063.05,2070.45,119456,2010
05-05-2010,2041.15,2080,2031,2073.55,117605,2010
06-05-2010,2073.55,2120,2029.35,2066.55,132688,2010
07-05-2010,2050,2074.3,2026.2,2057.8,152650,2010
10-05-2010,2080,2127.9,2070.8,2121.4,314703,2010
11-05-2010,2132,2163,2106.35,2125.95,356225,2010
